cenario,repeticao,ordem
latencia_induzida,1,B-A
latencia_induzida,2,A-B
latencia_induzida,3,B-A
latencia_induzida,4,A-B
latencia_induzida,5,B-A
latencia_induzida,6,A-B
latencia_induzida,7,B-A
latencia_induzida,8,A-B
latencia_induzida,9,B-A
latencia_induzida,10,A-B
timeout_intermitente,1,B-A
timeout_intermitente,2,A-B
timeout_intermitente,3,B-A
timeout_intermitente,4,A-B
timeout_intermitente,5,B-A
timeout_intermitente,6,A-B
timeout_intermitente,7,B-A
timeout_intermitente,8,A-B
timeout_intermitente,9,B-A
timeout_intermitente,10,A-B
pod_kill,1,B-A
pod_kill,2,A-B
pod_kill,3,B-A
pod_kill,4,A-B
pod_kill,5,B-A
pod_kill,6,A-B
pod_kill,7,B-A
pod_kill,8,A-B
pod_kill,9,B-A
pod_kill,10,A-B
